BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
144,147.34,147.94,Payson,K7UCS,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.09,-111.8281,O X 100.0,400524,1114941,West Mtn.,UTCO/SLC/CDRVLY
144,147.02,147.62,Payson,K7MLA,Wasatch Front,Y,100,,N,,N,N,N,Y,,N,,Y,40.0903,-111.8219,O A,400525,1114919,West Mtn.,UTCM
440,449.225,444.225,Payson,K7MLA,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.0903,-111.8219,O E 100.0,400525,1114919,West Mtn,UTCM
440,447.325,442.325,Springville,N7KYY,Wasatch Front,Y,114.8,,N,,N,N,N,N,,N,,N,40.0967,-111.3475,O E 114.8 port,400548,1112051,Springville,UTCM
144,146.8,146.2,Mapleton,N6EZO,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.1011,-111.5836,O E-SUN L 448.250,400604,1113501,Mapleton,UTCM
440,449.9,444.9,Vernal,W7BAR,North East,Y,136.5,,N,,N,N,N,N,,N,,N,40.1069,-109.3783,O 136.5 Yaesu D IRLP7705,400625,1092242,Uintah Co EOC,VERNAL
440,449.95,444.95,Vernon,W7EO,West,Y,100,,N,,N,N,N,N,,N,,N,40.1303,-112.3847,O 100.0,400749,1122305,Vernon Hills,TV
144,147.26,147.86,Duchesne,N7PQD,Northeast,N,,,N,,N,N,N,N,,N,,N,40.1533,-110.3922,O,400912,1102332,Duchesne,TABBY
440,447.475,442.475,Springville,WD7N,Wasatch Front,Y,186.2,,N,,N,N,N,N,,N,,N,40.1619,-111.6025,O 186.2,400943,1113609,Springville,UTCM
144,145.49,144.89,Myton,W7BAR,Northeast,Y,136.5,,N,,N,N,N,Y,,Y,147.32,N,40.2222,-110.1042,O A 136.5 L147.32,401320,1100615,"Flat Top, 1 Mile NW of Myton",VERNAL
440,449.85,444.85,Provo,WA7FFM,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.2336,-111.6583,O,401401,1113930,Ut. Valley Reg. Med. Cntr.,UTCM
440,447.425,442.425,Provo,N7EVC,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.2344,-111.6583,O,401404,1113930,Provo,UTCM
440,449.825,444.825,Provo,KB7YOT,Wasatch Front,Y,167.9,,N,,N,N,N,N,,N,,N,40.2361,-111.6289,O 167.9,401410,1113744,Provo,UTCM
144,145.33,144.73,BYU Campus,N7BYU,Wasatch Front,Y,100,,N,,N,N,N,Y,,N,,N,40.2458,-111.6511,O Ca,401445,1113904,BYU Campus,UTCM
440,449.075,444.075,Provo BYU,N7BYU,Wasatch Front,Y,167.9,,N,,N,N,N,N,,N,,N,40.2458,-111.6458,O,401445,1113845,BYU,UTCM
144,147.28,147.88,Provo,K7UCS,Wasatch Front,Y,141.3,,N,,N,N,N,N,,N,449.675,Y,40.2608,-111.9281,O X 141.3,401539,1115541,Lake Mtn Co site south end,UTCO/SLC/CDRVLY
